ISO_country,1983,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
PAK,,,7.8,,,,,5.4,1.6,,,,,,,,,4.8,,,,,,,,,,6.4,4.8,,,
PAN,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,
PER,,,,,,,,9.3,,,,,9.9,,,,11.8,,,,,9.1,,,9.8,10.3,8.1,8.9,7.2,,,
PHL,,,,,,,,,1.7,,,,,,1.9,,,,,2.4,,,,,3.3,,,4.3,,5.0,,
PNG,3.1,,,,,,,,,,,,,,,,,,,,,3.4,,,,,13.8,,,,,
PRK,,,,,,,,,,,,,,,,,,,0.9,,,,,,,0.0,,,,,,
PRY,,,,,,,6.3,,,,,,,,,,,,,,,7.1,,,,,,,11.7,,,
PSE,,,,,,,,,,,,,4.0,,,,,,,,,,,11.4,,,5.3,,,,8.2,
QAT,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,,,
ROU,,,,,,,,4.0,,,,,,,,10.1,8.9,9.1,8.3,,,,,,,,,,,,,
RWA,,,,,,,,,4.0,,,,,,,,7.2,,,,,6.7,,,,,7.1,,,,,7.7
SAU,,,,,,,,,,,1.2,,,,,,,,,,,6.1,,,,,,,,,,
SDN,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,3.0,
SEN,,,2.3,,,,,,4.0,4.0,,,,,,,3.2,,,,,2.4,,,,,,2.8,0.7,1.5,1.3,
SGP,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,
SLB,,,,,,1.9,,,,,,,,,,,,,,,,,,2.5,,,,,,,,
SLE,,,,,,,,,,,,,,,,,4.7,,,,,5.9,,,10.1,,10.3,,,8.9,,
SLV,,,,,3.0,,,,,3.9,,,,,3.9,,,,,5.8,,,,,5.7,,,,,,6.0,
SOM,,,,,,,,,,,,,,,,,,,,,,,4.7,,,2.9,,,,,,
SRB,,,,,,,,,,,,,,,,,,,,,,19.3,,,,,15.6,,,,13.9,
SSD,,,,,,,,,,,,,,,,,,,,,,,10.9,,,,6.0,,,,,
STP,,,,,,,,,,,,,,,,,9.2,,,,,,15.4,,11.6,,,,,,,
SUR,,,,,,,,,,,,,,,,,2.9,,,,,,4.0,,,,4.0,,,,,
SWZ,,,,,,,,,,,,,,,,,14.9,,,,,,11.4,,,,10.7,,,,9.0,
SYC,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,
SYR,,,,,,,,,,15.0,,,,,,,,19.7,,,,,18.7,,,17.9,,,,,,
TCD,,,,,,,,,,,,,,2.7,,,2.7,,,,4.4,,,,,,2.8,,,,,
TGO,,,,,2.9,,,,,,,,,,2.3,,,,,,,,4.7,,,,1.6,,,,2.0,
THA,,,,1.3,,,,,,,,4.7,,,,,,,,,,,8.0,,,,,,10.9,,,
TJK,,,,,,,,,,,,,,,,,,,,,,6.7,,,,4.2,,,6.6,,,
TKM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLS,,,,,,,,,,,,,,,,,,,5.7,,,,,,,5.8,,,,,,
TON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,,,
TTO,,,,3.5,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,
TUN,,,,,3.7,,,,,,,,,1.4,,,,,,,,,8.8,,,,,,14.3,,,
TUR,,,,,,,,,,5.0,,,,,4.0,,,,,,9.1,,,,,,,,,10.9,,
TUV,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,,,
TZA,,,,,,,,5.7,,,,,4.6,,,3.3,,,,,4.9,,,,,,5.5,,,5.2,,
UGA,,,,,3.6,,,,,,,5.0,,,,,4.9,,,,,,4.9,,,,,3.8,5.8,,,
UKR,,,,,,,,,,,,,,,,,26.5,,,,,,,,,,,,,,,
