,,,"Children aged <5 years stunted (%)","Children aged <5 years stunted (%)","Children aged <5 years stunted (%)"
"Country","Year","Data Source","Both sexes","Female","Male"
"Kuwait","2008","NLIS_313048","5.1","5.0","5.2"
"Kuwait","2007","NLIS_313048","5.1","4.3","5.9"
"Kuwait","2006","NLIS_313048","4.6","4.9","4.3"
"Kuwait","2005","NLIS_313010","4.5","3.8","5.1"
"Kuwait","2004","NLIS_313010","4.1","4.2","4.0"
"Kuwait","2003","NLIS_313010","3.9","3.2","4.7"
"Kuwait","2002","NLIS_313010","3.6","2.7","4.4"
"Kuwait","2001","NLIS_313010","4.0","3.4","4.5"
"Kuwait","1996-1997","NLIS_311840","5.0","",""
"Kuwait","1994-1995","NLIS_311859","14.9","",""
"Kuwait","1983-1984","NLIS_310254","16.7","",""
"Kyrgyzstan","2014","NLIS_313239","12.9","",""
"Kyrgyzstan","2012","NLIS_312868","17.8","15.5","19.9"
"Kyrgyzstan","2009","NLIS_313171","22.6","22.1","23.1"
"Kyrgyzstan","2005-2006","NLIS_312827","18.1","17.5","18.7"
"Kyrgyzstan","1997","NLIS_311841","32.6","29.7","35.4"
"Lao People's Democratic Republic","2011-2012","NLIS_313176","43.8","42.1","45.5"
"Lao People's Democratic Republic","2006","NLIS_312921","47.6","46.8","48.3"
"Lao People's Democratic Republic","2000","NLIS_312355","48.2","46.7","49.8"
"Lao People's Democratic Republic","1994","NLIS_311249","52.9","",""
"Lao People's Democratic Republic","1993","NLIS_311522","53.6","",""
"Lebanon","2004","NLIS_312913","16.5","17.0","16.0"
"Lebanon","1996","NLIS_311660","17.2","17.1","17.3"
"Lesotho","2014","NLIS_313251","33.2","",""
"Lesotho","2009-2010","NLIS_313098","39.0","35.0","43.1"
"Lesotho","2004-2005","NLIS_312798","45.2","42.4","48.0"
"Lesotho","2000","NLIS_312366","53.0","51.2","54.8"
"Lesotho","1993","NLIS_311524","37.5","",""
"Lesotho","1992","NLIS_311313","39.2","",""
"Lesotho","1976","NLIS_310101","47.4","",""
"Liberia","2013","NLIS_313233","32.1","29.0","34.8"
"Liberia","2006-2007","NLIS_312873","39.4","36.7","41.9"
"Liberia","1999-2000","NLIS_312437","45.3","41.5","48.9"
"Liberia","1976","NLIS_310005","43.1","",""
